GameFileName,GameName,GameDisplay,GameRating,MediaSearch,Manufact,GameYear,NumPlayers,GameType,GKeepDisplays,Category,GameTheme,CUSTOM5,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,ROM,Tags
Queen of Hearts (Gottlieb 1952) Polsonator2 1.0.0,Queen of Hearts (Gottlieb 1952),Queen of Hearts (Gottlieb 1952),6720,,Gottlieb,1952,1,EM,"0,1,5",E,Card and Casino,,https://www.ipdb.org/machine.cgi?id=1891,1891,,Wayne Neyens,"Polsonator2, Arborelia, Loserman76",1.0.0,,
Quicksilver (Stern 1980) VPW 1.0.0,Quicksilver (Stern 1980),Quicksilver (Stern 1980),7714,,Stern,1980,4,SS,"0,5",E,Science Fiction,,http://www.ipdb.org/machine.cgi?id=1895,1895,,Joe Joos Jr.,VPinWorkshop,1.0.0,quicksic,
Quijote (Juegos Populares 1987) Goldchicco 1.3,Quijote (Juegos Populares 1987),Quijote (Juegos Populares 1987),6026,,Juegos Populares,1987,4,SS,"0,1,5",E,Medieval Era,,Not Available,,,?,"Goldchicco, 32assassin, Mfuegemann",1.3,pimbal,
Rack Em Up! (Gottlieb 1983) Teisen 1.0.4,Rack Em Up! (Gottlieb 1983),Rack Em Up! (Gottlieb 1983),7120,,Gottlieb,1983,4,SS,"0,1,5",E,Billiards,,http://www.ipdb.org/machine.cgi?id=1902,1902,,John Buras,"Teisen, Kalavera3",1.0.4,rackemup,
Rack-A-Ball (Gottlieb 1962) Loserman76 1.0,Rack-A-Ball (Gottlieb 1962),Rack-A-Ball (Gottlieb 1962),7004,,Gottlieb,1962,1,EM,"0,1,5",E,Billiards,,https://www.ipdb.org/machine.cgi?id=1903,1903,,Wayne Neyens,Loserman76,1.0,,
Radical! -Prototype Edition- (Bally 1990) VPW 1.0.1 MOD,Radical! -Prototype Edition- (Bally 1990),Radical! -Prototype Edition- (Bally 1990),8750,,Bally,1990,4,SS alpha,"0,5",E,Sports,Surf-Skate-Cycle,http://www.ipdb.org/machine.cgi?id=1904,1904,,"Dan Langlois, Peter Perry",VPinWorkshop,1.0.1,radcl_l1,
Radical! -JP Edition- (Bally 1990) JPSalas 5.5.0 MOD,Radical! -JP Edition- (Bally 1990),Radical! -JP Edition- (Bally 1990),8110,,Bally,1990,4,SS alpha,"0,1,5",E,Sports,Surf-Skate-Cycle,http://www.ipdb.org/machine.cgi?id=1904,1904,,"Dan Langlois, Peter Perry",JPSalas,5.5.0,radcl_l1,dup
"Raid, The (Playmatic 1984) Goldchicco 1.1b","Raid, The (Playmatic 1984)","Raid, The (Playmatic 1984)",6796,,Playmatic,1984,4,SS,"0,1,5",E,Military and Spies,,http://www.ipdb.org/machine.cgi?id=3511,3511,,?,"Goldchicco, 32assasin, MRCMRC",1.1b,theraid,
Rainbow (Gottlieb 1956) Loserman76 1.0a,Rainbow (Gottlieb 1956),Rainbow (Gottlieb 1956),7026,,Gottlieb,1956,1,EM,"0,1,5",E,Wild West,,https://www.ipdb.org/machine.cgi?id=1911,1911,,"Wayne Neyen, Roy Parker","Loserman76, PBecker, Itchigo",1.0a,,
Rally (Taito do Brasil 1980) JPSalas 6.0.1,Rally (Taito do Brasil 1980),Rally (Taito do Brasil 1980),7522,,Taito do Brasil,1980,4,SS,"0,1,5",E,Motorsports,,http://www.ipdb.org/machine.cgi?id=4581,4581,,?,"JPSalas, Tio Italo, Carlos Guizzo, Pmax65",6.0.1,rally,langP
"Rambo, John (Original 2024) Marty02 3.5.0 MOD","Rambo, John (Original 2024)","Rambo, John (Original 2024)",7002,,Original,2024,4,SS dmd,-1,T,Military and Spies,,,,,,"Marty02, TeamTuga",3.5.0,,"PuP, FlexDMD"
Rambo First Blood Part II (Original 2020) Ivantba 1.1,Rambo First Blood Part II (Original 2020),Rambo First Blood Part II (Original 2020),6082,,Original,2020,4,SS alpha,"0,1,5",T,Military and Spies,,Not Available,,,?,"Ivantba, Armyaviation, Bord, Rascal",1.1,ravena,
Ramones (Original 2021) Hauntfreaks 1.0.0,Ramones (Original 2021),Ramones (Original 2021),8292,,Original,2021,4,EM,"0,5",E,Musicians,,,,,,HauntFreaks,1.0.0,,"Music, zips"
Rancho (Williams 1976) Klodo81 2.0.0,Rancho (Williams 1976),Rancho (Williams 1976),7506,,Williams,1976,2,EM,"0,1,5",E,Wild West,,https://www.ipdb.org/machine.cgi?id=1918,1918,,"Harry Williams, Chris Otis","Klodo81, STAT",2.0.0,,
Red and Teds Road Show (Williams 1994) VPW 1.5.4,Red and Teds Road Show (Williams 1994),Red and Teds Road Show (Williams 1994),9480,,Williams,1994,4,SS dmd,"0,5",T,Workplaces,,http://www.ipdb.org/machine.cgi?id=1972,1972,,Pat Lawlor,"VPinWorkshop, Knorr, ClarkKent, Fuzzel, Toxie, Zany, Dark, Mjr, Arngrum, Kiwi, Gigagula",1.5.4,rs_l6,
Red Baron (Chicago Coin 1975) JeJePinball 1.0.0,Red Baron (Chicago Coin 1975),Red Baron (Chicago Coin 1975),6036,,Chicago Coin,1975,2,EM,"0,1,5",E,Military and Spies,,https://www.ipdb.org/machine.cgi?id=1933,1933,,"Jerry Koci, Albin Peters, Wendell McAdams, Lloyd Rognan",JeJePinball,1.0.0,,
